"filename", "language", "YAML", "Dart", "Swift", "comment", "blank", "total"
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\data\provider_for_audio_player.dart", "Dart", 0, 195, 0, 32, 17, 244
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\data\provider_for_cards.dart", "Dart", 0, 16, 0, -37, -8, -29
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\domain\entities\gallery_items_entity.dart", "Dart", 0, 5, 0, 0, 2, 7
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\main.dart", "Dart", 0, 1, 0, 0, 1, 2
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\appBar_for_lists\app_bar_for_lists.dart", "Dart", 0, 67, 0, 18, 5, 90
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\bottom_bar_with_items\bottom_bar.dart", "Dart", 0, 487, 0, 82, 17, 586
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\bottom_nav_bar_with_items\bottom_nav_bar.dart", "Dart", 0, 0, 0, 0, 2, 2
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\create_item.dart", "Dart", 0, 140, 0, 1, 0, 141
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\gallery\api_handmade\api_for_categories.dart", "Dart", 0, 19, 0, 0, 2, 21
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\gallery\gallery_main.dart", "Dart", 0, 224, 0, 21, 15, 260
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\list_for_kids.dart", "Dart", 0, -411, 0, -391, -37, -839
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\draw_list.dart", "Dart", 0, -28, 0, -7, -1, -36
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\drink_list.dart", "Dart", 0, -28, 0, -3, -1, -32
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\eat_list.dart", "Dart", 0, -27, 0, -9, -1, -37
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\go_list.dart", "Dart", 0, -28, 0, -7, -2, -37
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\hygiene_list.dart", "Dart", 0, -28, 0, -7, -2, -37
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\play_list.dart", "Dart", 0, -27, 0, -7, -1, -35
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\rest_list.dart", "Dart", 0, -27, 0, -7, 0, -34
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\main_menu\main_menu.dart", "Dart", 0, 3, 0, 0, 0, 3
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\my_cards\my_cards.dart", "Dart", 0, -38, 0, 3, -1, -36
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\settings\settings_main.dart", "Dart", 0, 223, 0, 0, 6, 229
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\splash_screen\splash_congratulate.dart", "Dart", 0, -3, 0, 1, -1, -3
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 4, 0, 0, 4
"c:\Users\gasan\.vscode\flutter projects\kids_app\pubspec.yaml", "YAML", 1, 0, 0, 0, 0, 1
"Total", "-", 1, 735, 4, -317, 12, 435